s2id,lat,lon,label,sublabel,label_source,iso3,distance_from_shore_m,drift_radius,dock
2df58a83,-0.0013716873107072166,117.58730594919781,BONTANG,BONTANG,top_destination,IDN,,0.14680733777997404,false
2df58a9d,-0.00152514427196035,117.58256239351095,BONTANG,BONTANG,top_destination,IDN,,0.14451838690594185,false
0d620075,38.629273488720386,-0.0026650587441355449,ESP-2,MEDITERRAN SEA,anchorage_overrides,ESP,,0.081793597490055631,true
48789d7d,53.600938873523035,-0.0018104189662459301,IMMINGHAM,IMMINGHAM,top_destination,GBR,,0.112375705053467,false
48789d7f,53.601835966601122,-0.0020680308008274111,IMMINGHAM,GRIMSBY,top_destination,GBR,,0.11101873077126119,false
487602a1,51.496426257888665,-0.0020743820242505834,LONDON,CANARY WHARF,geonames_1000,GBR,,0.1174933003391813,true
4876029d,51.487544274120729,-0.0013199373236389715,LONDON,CANARY WHARF,geonames_1000,GBR,,0.083871227110384666,true
487602a7,51.501245313708615,-0.0039855696925988442,LONDON,CANARY WHARF,geonames_1000,GBR,,0.15384087811038913,true
4876029f,51.491512063120119,-0.00097268403119256342,LONDON,CANARY WHARF,geonames_1000,GBR,,0.16181124411735612,true
8efe7543,11.84060637,1001,POINTE NOIRE,,anchorage_overrides,COG,,,false
2e1d5883,-0.0031653738452522232,109.32163878848564,PONTIANAK,SUNGAI RENGAS,anchorage_overrides,IDN,,0.10130325257438615,true
2e1d589d,-0.0010714604524209791,109.31685138253917,PONTIANAK,SUNGAI RENGAS,anchorage_overrides,IDN,,0.063833303746735875,true
2e1d5881,-0.0039604541362728337,109.32550436648357,PONTIANAK,SUNGAI RENGAS,anchorage_overrides,IDN,,0.06923921770271288,true
0fdf87ff,5.5645889158005337,-0.0024456646455167722,TEMA,TEMA OFFSHORE,tmt,GHA,,0.10179427774615298,false
0fdf8803,5.5542187960968645,-0.0023028617948144055,TEMA,TEMA OFFSHORE,tmt,GHA,,0.10640589267152471,false
0fdf878b,5.58556407268548,-0.0018780942202244748,TEMA,TEMA OFFSHORE,tmt,GHA,,0.086916345689590169,false
0fdf8781,5.6009066627807167,-0.0022942641227628765,TEMA,TEMA OFFSHORE,tmt,GHA,,0.088075391260925645,false
0fdf881f,5.5437034137469352,-0.0021034347701917454,TEMA,TEMA OFFSHORE,tmt,GHA,,0.11007089618216087,false
0fdf8787,5.5961301168540256,-0.0024371131592816294,TEMA,TEMA OFFSHORE,tmt,GHA,,0.075306700299382592,false
0fdf8801,5.5594803411215139,-0.0025471391714469373,TEMA,TEMA OFFSHORE,tmt,GHA,,0.097433442471449569,false
0fdf8789,5.5898418128847256,-0.0018817793288490496,TEMA,TEMA OFFSHORE,tmt,GHA,,0.082103489237432367,false
0fdf87f9,5.5693841907180328,-0.0021532481988224671,TEMA,TEMA OFFSHORE,tmt,GHA,,0.089726327092080421,false
0fdf87f5,5.5802154141673412,-0.0023723705195875847,TEMA,TEMA OFFSHORE,tmt,GHA,,0.086727756630136113,false
0fdf87f7,5.575772651438986,-0.0026317141402336232,TEMA,TEMA OFFSHORE,tmt,GHA,,0.099838034914961279,false
0fdf877d,5.611992278080268,-0.0028365467680354891,TEMA,TEMA,anchorage_overrides,GHA,,0.078553985935506582,false
0d2f449f,42.380045440552614,-8.9272327115326959,A ILLA DE ONS,A ILLA DE ONS,anchorage_overrides,ESP,0,0.080041452628011961,true
0d2f449d,42.387129596325664,-8.925120912049513,A ILLA DE ONS,A ILLA DE ONS,anchorage_overrides,ESP,0,0.05337702311512104,true
0d2f44a1,42.378132748015126,-8.92776372637849,A ILLA DE ONS,A ILLA DE ONS,anchorage_overrides,ESP,0,0.068618054396733227,true
47b3517f,55.036565227019089,9.4247955849423644,AABENRAA,ABENRA,WPI_ports,DNK,0,0.064497936380742776,true
47b353d3,55.0454434037783,9.42722696864631,AABENRAA,ABENRA,WPI_ports,DNK,0,0.058973970647396748,true
47b3518f,55.025902889702678,9.4451255142549737,AABENRAA,ENSTED,WPI_ports,DNK,0,0.073228260426776867,true
47b3519b,55.02394980815108,9.43665818662642,AABENRAA,ENSTED,WPI_ports,DNK,0,0.056831584239744638,true
47b353d7,55.04221149441782,9.423369575834311,AABENRAA,ABENRA,WPI_ports,DNK,0,0.030275282416073468,true
47b35191,55.025315033228,9.4447348380225815,AABENRAA,ENSTED,WPI_ports,DNK,0,0.031549901856355506,true
463ce3f1,60.402493954887447,5.0630239354161137,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.12856552474264926,true
463ce115,60.42235155274701,5.0036959037226154,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.044406014779451219,true
463ce147,60.410468146101636,5.0166730261757353,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.12817774032264964,true
463ce13f,60.414719526243807,5.0075123030312687,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.059242202860709983,true
463ce15f,60.414933305924087,5.0384357679151135,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.12963875467296793,false
463ce15d,60.41495700718859,5.0307859608510634,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.12495390517377099,false
463ce141,60.415130675357993,5.014678224963423,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.10304990571635297,true
463ce143,60.413765692349735,5.0183314333030387,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.0928914486078876,true
463ce145,60.410441516435554,5.0172310773851221,AAGOTNES,TRANNESET,WPI_ports,NOR,0,0.059473341154108871,true
461708bb,62.044400937351455,5.521243328939005,AAHEIM,AAHEIM,top_destination,NOR,0,0.0441452459542417,true
461708b9,62.042989565470563,5.5163484724527461,AAHEIM,AAHEIM,top_destination,NOR,0,0.057081852528765596,true
4649326f,57.058139914351827,9.89499781228828,AALBORG,ALBORG,WPI_ports,DNK,0,0.0667485107641535,true
464932a9,57.064200434635424,9.9706574380459649,AALBORG,ALBORG,WPI_ports,DNK,0,0.0663069453976753,true
4649328f,57.055242338338296,9.92614093856093,AALBORG,ALBORG,WPI_ports,DNK,0,0.0482847482805504,true
46493295,57.048939229653136,9.9395285481895321,AALBORG,ALBORG,WPI_ports,DNK,0,0.034908517407057707,true
464ecd8f,57.049252967618742,10.064187613548237,AALBORG,AALBORG,top_destination,DNK,0,0.044213894202327915,true
46493265,57.057922004792331,9.900899592807848,AALBORG,ALBORG,WPI_ports,DNK,0,0.079627454317456214,true
464ecd85,57.049265213772067,10.057408146460462,AALBORG,AALBORG,top_destination,DNK,0,0.055798289209491751,true
46493213,57.056976146040647,9.8775468214089646,AALBORG,ALBORG,WPI_ports,DNK,0,0.087923029646839318,true
464ecd81,57.0553979703253,10.048828236679332,AALBORG,AALBORG,top_destination,DNK,0,0.038859617790262257,true
